episode,step,timestamp,task_id,agent_id,state,action
1,13,1743066651.3812385,665,5,"[4.511384963989258, 5.624573230743408]",5
1,14,1743066651.3952377,560,0,"[48.54599380493164, 10.649519920349121]",4
1,14,1743066651.3952377,560,1,"[2.817143678665161, 39.36528778076172]",1
1,14,1743066651.3952377,560,2,"[27.30603790283203, 16.117244720458984]",5
1,14,1743066651.3952377,560,3,"[3.2291502952575684, 26.49860954284668]",9
1,14,1743066651.3962383,560,4,"[4.488175868988037, 87.32264709472656]",9
1,14,1743066651.3962383,560,5,"[4.511384963989258, 5.624573230743408]",8
1,15,1743066651.4082348,349,0,"[48.54599380493164, 10.649519920349121]",7
1,15,1743066651.4082348,349,1,"[2.817143678665161, 39.36528778076172]",1
1,15,1743066651.4082348,349,2,"[27.30603790283203, 16.117244720458984]",7
1,15,1743066651.4082348,349,3,"[3.2291502952575684, 26.49860954284668]",5
1,15,1743066651.4082348,349,4,"[4.488175868988037, 87.32264709472656]",5
1,15,1743066651.4092357,349,5,"[4.511384963989258, 5.624573230743408]",7
1,16,1743066651.421239,883,0,"[48.54599380493164, 10.649519920349121]",7
1,16,1743066651.421239,883,1,"[2.817143678665161, 39.36528778076172]",5
1,16,1743066651.421239,883,2,"[27.30603790283203, 16.117244720458984]",1
1,16,1743066651.421239,883,3,"[3.2291502952575684, 26.49860954284668]",4
1,16,1743066651.4222405,883,4,"[3.8799946308135986, 54.13465881347656]",7
1,16,1743066651.4222405,883,5,"[4.511384963989258, 5.624573230743408]",1
1,17,1743066651.4342387,419,0,"[48.54599380493164, 10.649519920349121]",8
1,17,1743066651.4342387,419,1,"[2.817143678665161, 39.36528778076172]",4
1,17,1743066651.4352403,419,2,"[27.30603790283203, 16.117244720458984]",2
1,17,1743066651.4352403,419,3,"[3.2291502952575684, 26.49860954284668]",1
1,17,1743066651.4352403,419,4,"[0.9927524924278259, 40.61850357055664]",9
1,17,1743066651.4352403,419,5,"[4.511384963989258, 5.624573230743408]",3
1,18,1743066651.4487522,337,0,"[48.54599380493164, 10.649519920349121]",8
1,18,1743066651.4487522,337,1,"[2.817143678665161, 39.36528778076172]",2
1,18,1743066651.4487522,337,2,"[27.30603790283203, 16.117244720458984]",3
1,18,1743066651.4487522,337,3,"[3.2291502952575684, 26.49860954284668]",7
1,18,1743066651.4487522,337,4,"[0.9927524924278259, 40.61850357055664]",9
1,18,1743066651.4487522,337,5,"[4.511384963989258, 5.624573230743408]",6
1,19,1743066651.4617484,304,0,"[48.54599380493164, 10.649519920349121]",4
1,19,1743066651.4617484,304,1,"[2.817143678665161, 39.36528778076172]",5
